date,open,close,high,low
2018-06-04,165.145,164.325,166.26,163.165
2018-06-11,271.91499999999996,271.765,275.78000000000003,268.245
2018-06-18,261.585,258.40500000000003,264.83,256.065
2018-06-25,247.07,247.50000000000003,250.605,244.60000000000002
2018-07-02,203.98000000000002,204.85,205.11,202.345
2018-07-09,259.38,259.53,261.525,257.1
2018-07-16,259.96,260.09999999999997,261.77,257.315
2018-07-23,249.315,248.07,254.565,244.52999999999997
2018-07-30,244.25,246.90999999999997,247.58999999999997,242.745
2018-08-06,245.69,245.51999999999998,249.40000000000003,243.40500000000003
2018-08-13,235.79500000000002,235.85,238.61,232.96500000000003
2018-08-20,238.01,238.61999999999998,240.03,236.29
2018-08-27,193.72,193.85000000000002,194.83499999999998,192.69
2018-09-03,235.36,233.36,237.3,232.2
2018-09-10,226.72,227.55999999999997,229.395,224.73499999999999
2018-09-17,232.07500000000002,232.82999999999998,235.195,230.38500000000002
2018-09-24,231.88,233.42,236.41,229.07
2018-10-01,239.99,237.51999999999998,241.865,235.44499999999996
2018-10-08,226.25500000000002,224.38,228.8,221.855
2018-10-15,225.375,224.37,228.09,222.11
2018-10-22,225.34,225.58,230.665,218.01
2018-10-29,238.53999999999996,237.42999999999998,241.495,234.37999999999997
2018-11-05,240.09499999999997,239.86,243.58999999999997,236.72500000000002
2018-11-12,238.805,239.44,242.645,236.21
2018-11-19,188.645,189.57999999999998,190.82000000000002,187.2
2018-11-26,244.10500000000002,243.75,247.69000000000003,239.39000000000001
2018-12-03,236.64999999999998,236.94500000000002,240.87500000000003,233.93
2018-12-10,239.29500000000002,236.555,250.56,235.095
2018-12-17,223.635,223.70499999999998,227.73000000000002,220.545
2018-12-24,186.45000000000002,187.73000000000002,189.57000000000002,185.615
2018-12-31,188.645,190.4,192.15,186.10999999999999
2019-01-07,241.685,242.56,244.84500000000003,239.86
2019-01-14,195.295,195.12,196.655,193.39000000000001
2019-01-21,235.245,237.59999999999997,240.79000000000002,231.67000000000002
2019-01-28,241.39000000000001,244.98,245.26499999999996,237.805
2019-02-04,246.78500000000003,247.32,249.99499999999998,243.91
2019-02-11,200.06,200.38,205.66,198.03
2019-02-18,262.96000000000004,263.46500000000003,265.165,260.08500000000004
2019-02-25,267.835,266.85499999999996,268.945,264.92
2019-03-04,264.73,266.305,268.005,263.03999999999996
2019-03-11,270.97,269.86,272.835,268.31
2019-03-18,268.21,267.26,271.285,264.86
2019-03-25,270.84499999999997,271.115,272.81,267.86
2019-04-01,277.51,278.255,279.44,275.33
2019-04-08,275.22,273.475,285.87,258.88
2019-04-15,233.83,234.495,235.55999999999997,232.505
2019-04-22,265.21,262.87,272.25,261.39
2019-04-29,252.81,253.22,257.03499999999997,249.795
2019-05-06,229.32999999999998,228.40499999999997,235.51500000000004,225.33
2019-05-13,223.11,222.455,226.26,220.965
2019-05-20,177.265,177.33,179.12,174.685
2019-05-27,229.95,230.32500000000002,238.06499999999997,220.515
2019-06-03,231.96999999999997,232.74,233.51999999999998,229.29500000000002
2019-06-10,233.99499999999998,233.99499999999998,236.89999999999998,231.415
2019-06-17,237.18,236.945,239.29,234.96
2019-06-24,241.41,239.96,243.29000000000002,238.42999999999998
2019-07-01,200.18499999999997,200.125,200.995,189.815
2019-07-08,246.84499999999997,247.175,255.78500000000003,244.055
2019-07-15,253.13500000000002,256.21,255.805,250.14499999999998
2019-07-22,259.925,258.505,263.425,257.245
2019-07-29,237.345,235.285,247.54000000000002,231.57000000000002
2019-08-05,230.32,231.48999999999998,235.06,228.175
2019-08-12,233.95500000000004,233.28,235.135,230.31
2019-08-19,230.975,228.79999999999998,232.31,227.12
2019-08-26,189.46499999999997,190.075,191.88500000000002,187.08499999999998
2019-09-02,250.195,253.28,254.93,247.47500000000002
2019-09-09,261.435,262.495,264.335,258.76
2019-09-16,257.205,254.665,258.34,253.345
2019-09-23,255.68,255.085,256.99,247.935
2019-09-30,251.08,250.66,254.19,246.86
2019-10-07,256.54,257.87,260.075,253.79
2019-10-14,260.33500000000004,259.82,262.08,258.06
2019-10-21,270.33000000000004,275.585,277.28,263.19
2019-10-28,283.02,284.845,286.15,280.28499999999997
2019-11-04,289.56,290.475,292.55,287.54999999999995
2019-11-11,290.64,290.465,292.23499999999996,280.245
2019-11-18,291.03999999999996,291.54,293.215,288.23
2019-11-25,232.18,230.76000000000002,234.005,229.495
2019-12-02,282.85,281.975,283.77500000000003,280.615
2019-12-09,287.11,286.92,289.28499999999997,278.71500000000003
2019-12-16,292.9,294.87,295.45,291.035
2019-12-23,238.85000000000002,239.10000000000002,239.92000000000002,237.73499999999999
2019-12-30,237.72500000000002,237.32500000000002,241.2,235.9
2020-01-06,296.105,296.25,298.405,294.295
2020-01-13,237.63500000000002,237.51500000000001,239.16,234.41
2020-01-20,323.59499999999997,329.72,334.10999999999996,316.99
2020-01-27,329.57,326.635,332.25,322.76500000000004
2020-02-03,333.795,334.035,337.565,323.5
2020-02-10,268.375,268.105,270.555,266.66
2020-02-17,316.3,311.42499999999995,322.50500000000005,310.8
2020-02-24,286.115,285.23,295.005,277.91499999999996
2020-03-02,272.725,276.21000000000004,284.54999999999995,267.325
2020-03-09,240.515,246.02000000000004,281.835,230.46499999999997
2020-03-16,239.9,243.39,255.2,229.625
2020-03-23,265.47999999999996,266.28000000000003,283.54999999999995,257.31
2020-03-30,280.82,284.25,288.99,271.4
2020-04-06,232.595,231.92000000000002,237.365,227.48999999999998
2020-04-13,283.65999999999997,281.38,302.84000000000003,266.045
2020-04-20,296.84,299.285,303.84999999999997,290.6
2020-04-27,288.84999999999997,287.63,294.58000000000004,280.87
2020-05-04,301.445,297.74,304.04499999999996,294.95
2020-05-11,292.60499999999996,292.83500000000004,300.035,285.63
2020-05-18,250.025,251.945,254.35500000000002,241.42000000000002
2020-05-25,311.765,313.32,317.94,307.005
2020-06-01,315.475,315.325,321.28000000000003,307.28000000000003
2020-06-08,246.5985,245.96499999999997,252.18,238.84499999999997
2020-06-15,303.16,300.955,304.915,296.95
2020-06-22,294.77,295.11,296.455,289.8412
2020-06-29,236.53,236.04,239.44,234.86999999999998
2020-07-06,293.59499999999997,294.40999999999997,297.305,289.63
2020-07-13,294.94,295.73,299.79,292.79
2020-07-20,287.53999999999996,293.89,289.075,274.75
2020-07-27,243.20000000000002,242.6,245.17829999999998,238.86
2020-08-03,243.83999999999997,242.61986503067502,245.72000000000003,241.01999999999998
2020-08-10,245.47000000000003,244.05,246.82999999999998,242.065
2020-08-17,246.07,244.35999999999999,247.37000000000003,243.34
2020-08-24,249.065,247.95000000000002,251.765,247.29
2020-08-31,205.17000000000002,204.38,207.525,200.935
2020-09-07,246.8935,246.85,249.74339999999998,244.39000000000001
2020-09-14,249.17,249.99,252.44,246.89499999999998
2020-09-21,247.72,247.59,251.735,245.46
2020-09-28,257.745,257.65000000000003,260.645,256.35
2020-10-05,263.755,261.92,267.245,261.61
2020-10-12,269.3,269.705,273.075,267.48
2020-10-19,257.635,255.78,259.605,248.06
2020-10-26,224.145,223.92499999999998,226.02499999999998,221.31
2020-11-02,228.17000000000002,225.75222342968902,231.155,225.445
2020-11-09,228.46,227.79999999999998,231.55,226.21999999999997
2020-11-16,227.35999999999999,227.79000000000002,229.63500000000002,225.91499999999996
2020-11-23,188.10000000000002,187.57,191.095,187.11
2020-11-30,249.95,250.78500000000003,255.575,248.14
2020-12-07,249.72999999999996,250.95,253.785,247.93499999999997
2020-12-14,249.73,250.365,251.305,243.435
2020-12-21,186.20499999999998,186.17,188.265,184.98999999999998
2020-12-28,194.96999999999997,195.03,201.48669999999998,193.1666
2021-01-04,255.10999999999999,255.22,260.445,252.56
2021-01-11,228.70000000000002,220.98000000000002,234.39000000000001,219.73000000000002
2021-01-18,290.44800000000004,293.36,297.66999999999996,284.1233
2021-01-25,276.60499999999996,275.815,283.03000000000003,272.745
2021-02-01,290.0693,289.0010644684,293.78999999999996,287.52
2021-02-08,237.765,237.46,242.23,235.34500000000003
2021-02-15,307.925,310.75,313.0,305.94000000000005
2021-02-22,306.025,306.2,314.44,299.21000000000004
2021-03-01,307.73499999999996,303.09000000000003,311.99,293.955
2021-03-08,311.46999999999997,312.605,322.935,302.67
2021-03-15,321.34499999999997,321.835,330.91999999999996,315.69500000000005
2021-03-22,319.735,318.03999999999996,327.325,310.105
