,symbol,date,open,close,low,high
0,AAPL,2018-06-06,48.53875,48.375,48.09625,48.54
1,AAPL,2018-06-07,47.745,47.8775,47.45125,48.4775
2,AAPL,2018-06-08,47.83625,47.79,47.5575,47.99875
3,AAPL,2018-06-11,47.84625,48.08,47.7825,47.965
4,AAPL,2018-06-12,48.12,47.66625,47.8275,48.2125
5,AAPL,2018-06-13,47.88375,47.7125,47.5575,48.19
6,AAPL,2018-06-14,47.5075,47.2675,47.075,47.8325
7,AAPL,2018-06-15,46.955,47.185,46.805,47.3675
8,AAPL,2018-06-18,46.325,46.4375,45.865,47.305
9,AAPL,2018-06-19,46.5825,46.6275,46.2025,46.74
10,AAPL,2018-06-20,46.82625,46.34875,46.5075,47.08375
11,AAPL,2018-06-21,46.49625,46.25375,46.2075,46.6675
12,AAPL,2018-06-22,45.87375,45.56,45.5525,46.49
13,AAPL,2018-06-25,45.63875,46.0825,45.185,46.3
14,AAPL,2018-06-26,46.3075,46.065,46.03,46.8125
15,AAPL,2018-06-27,46.01,46.4025,45.955,46.7325
16,AAPL,2018-06-28,46.5675,46.3375,46.155,46.79375
17,AAPL,2018-06-29,45.9575,46.795,45.8875,46.735
18,AAPL,2018-07-02,46.945,45.91,46.3225,46.985
19,AAPL,2018-07-03,45.91,45.91,45.91,46.6375
20,AAPL,2018-07-05,46.35,46.9925,46.2575,46.92375
21,AAPL,2018-07-06,47.345,47.645,46.86,47.6675
22,AAPL,2018-07-09,47.6825,47.5875,47.43875,47.80125
23,AAPL,2018-07-10,47.18,46.9825,46.99625,47.81875
24,AAPL,2018-07-11,47.345,47.7575,46.9225,47.74875
25,AAPL,2018-07-12,47.78625,47.8325,47.6625,47.95375
26,AAPL,2018-07-13,47.9,47.7275,47.74625,48.15875
27,AAPL,2018-07-16,47.44,47.8675,47.3425,47.84375
28,AAPL,2018-07-17,47.9475,47.6,47.49875,47.96625
29,AAPL,2018-07-18,47.4225,47.9925,47.4225,48.135
30,AAPL,2018-07-19,47.94125,47.86,47.90625,48.12625
31,AAPL,2018-07-20,47.64875,47.9025,47.3925,48.0225
32,AAPL,2018-07-23,48.07125,48.25,47.665,48.415
33,AAPL,2018-07-24,48.26625,48.705,48.0925,48.41
34,AAPL,2018-07-25,48.65375,48.5525,48.36,48.99
35,AAPL,2018-07-26,48.74875,47.745,48.28,48.77
36,AAPL,2018-07-27,47.985,47.43,47.3675,48.38
37,AAPL,2018-07-30,47.58,47.5725,47.275,47.75
38,AAPL,2018-07-31,49.78625,50.405,47.5725,50.3225
39,AAPL,2018-08-01,50.1325,51.8475,49.8975,51.76
40,AAPL,2018-08-02,51.8475,51.99,51.53,52.09125
41,AAPL,2018-08-03,51.98375,52.265,51.7575,52.17
42,AAPL,2018-08-06,52.3575,51.7775,51.6975,52.3675
43,AAPL,2018-08-07,51.5225,51.8125,51.1375,51.9475
44,AAPL,2018-08-08,51.8125,52.22,51.6425,52.39875
45,AAPL,2018-08-09,51.83,51.8825,51.83,52.4425
46,AAPL,2018-08-10,51.9625,52.2175,51.67,52.735
47,AAPL,2018-08-13,52.53875,52.4375,52.065,52.63875
48,AAPL,2018-08-14,52.26625,52.56,52.0875,52.4925
49,AAPL,2018-08-15,53.325,53.325,52.1,53.4325
50,AAPL,2018-08-16,54.52625,53.865,52.56,54.7925
