optimizer,Losses_val,Losses_test,frequency
adadelta,0.1361318279386443,0.16113982733119933,17
adagrad,0.14921720368632427,0.1671842128271237,24
adam,0.15518305303649632,0.1596288508735597,54
adamax,0.1777843460557051,0.1984030030784197,20
ftrl,0.256314088900884,0.27420176106194655,15
nadam,0.10865559850278636,0.11190641461120494,31
rmsprop,0.07794716952114618,0.09064407005313443,22
sgd,0.11035131191944374,0.12709927306893992,17
