open,high,low,last,close,volume,date,symbol,exchange
320.97,322.44,318.99,320.615,321.85,182829.0,2020-06-02T16:25:47+0000,AAPL,IEXG
320.97,322.44,318.99,320.575,321.85,181929.0,2020-06-02T16:20:50+0000,AAPL,IEXG
320.97,322.44,318.99,320.355,321.85,181729.0,2020-06-02T16:20:00+0000,AAPL,IEXG
320.97,322.44,318.99,320.31,321.85,180403.0,2020-06-02T16:15:11+0000,AAPL,IEXG
320.97,322.44,318.99,320.35,321.85,179438.0,2020-06-02T16:10:41+0000,AAPL,IEXG
320.97,322.44,318.99,320.05,321.85,176277.0,2020-06-02T15:55:56+0000,AAPL,IEXG
320.97,322.44,318.99,320.1,321.85,175618.0,2020-06-02T15:50:27+0000,AAPL,IEXG
320.97,322.44,318.99,320.1,321.85,174218.0,2020-06-02T15:45:41+0000,AAPL,IEXG
320.97,322.44,318.99,319.68,321.85,171176.0,2020-06-02T15:35:34+0000,AAPL,IEXG
320.97,322.44,318.99,319.48,321.85,169279.0,2020-06-02T15:25:06+0000,AAPL,IEXG
320.97,322.44,318.99,319.54,321.85,161553.0,2020-06-02T15:15:39+0000,AAPL,IEXG
320.97,322.44,319.18,319.55,321.85,158441.0,2020-06-02T15:10:48+0000,AAPL,IEXG
320.97,322.44,319.18,319.215,321.85,157441.0,2020-06-02T15:10:02+0000,AAPL,IEXG
320.97,322.44,319.42,320.065,321.85,152822.0,2020-06-02T15:05:52+0000,AAPL,IEXG
320.97,322.44,319.42,319.99,321.85,149786.0,2020-06-02T15:05:01+0000,AAPL,IEXG
320.97,322.44,320.28,320.39,321.85,145050.0,2020-06-02T15:00:40+0000,AAPL,IEXG
320.97,322.44,320.28,320.42,321.85,133849.0,2020-06-02T14:50:27+0000,AAPL,IEXG
321.775,321.775,321.775,321.85,321.775,20254653.0,2020-06-02T00:00:00+0000,AAPL,IEXG
317.49,322.19,316.89,322.1,317.94,104742.0,2020-06-01T17:25:21+0000,AAPL,IEXG
317.49,322.04,316.89,322.04,317.94,102678.0,2020-06-01T17:15:54+0000,AAPL,IEXG
317.49,321.61,316.89,321.365,317.94,100405.0,2020-06-01T17:05:02+0000,AAPL,IEXG
