Analitica,Montecarlo,LSTM Analítica,LSTM Montecarlo,indice
0.1145573097537933,0.1252794638132206,0.0033188295,0.1217505261301994,0
0.1132907718683319,0.1288325686494575,0.004724832,0.1210796162486076,1
0.2012696813672782,0.2366419208012083,0.014707596,0.2152122557163238,2
0.141011474001905,0.1649334668711893,0.022885056,0.1432801932096481,3
0.1342696195585914,0.1624294643734745,0.031279977,0.1343787908554077,4
0.2594442213335448,0.3343766176409513,0.050141297,0.2651975452899933,5
0.1613218166158889,0.1957634341696378,0.060505792,0.1442556679248809,6
0.1181330446867758,0.1365643553083542,0.065775834,0.0925852879881858,7
0.0910007474699452,0.1012649446409864,0.06835439,0.0623708181083202,8
0.0761452080520177,0.0833286538678007,0.06913193,0.0460901409387588,9
0.0192218446486476,0.0153833402190637,0.05926448,0.0055507621727883,10
0.0121846186959055,0.0106843039611493,0.04816826,0.0020907088182866,11
0.0050067431247853,0.0050937953790001,0.03498683,0.0,12
0.0010440525305059,0.0016508045096149,0.01942812,0.0,13
2.121810469960672e-05,0.0001236425715199,0.0020027724,0.0,14
1.2692357866484511e-08,1.4557225980917887e-05,0.0,0.0,15
2.963701961133609e-09,0.0002094670906216,0.0,0.0019635208882391,16
1.4720405427115882e-13,0.00181814022343,7.914443e-06,0.0,17
2.8865553037952495e-67,1.178531952217543e-05,0.0,0.0,18
