date,close_AAPL,close_NKE,close_INTC
2018-06-06,48.375,74.3,55.005
2018-06-07,47.8775,74.12,54.5
2018-06-08,47.79,74.73,54.82
2018-06-11,48.08,75.835,54.995
2018-06-12,47.66625,75.605,55.545
2018-06-13,47.7125,74.27,55.1
2018-06-14,47.2675,74.73,53.215
2018-06-15,47.185,73.93,52.91
2018-06-18,46.4375,73.415,53.475
2018-06-19,46.6275,72.36,52.16
2018-06-20,46.34875,72.575,52.395
2018-06-21,46.25375,71.42,50.705
2018-06-22,45.56,71.69,49.67
2018-06-25,46.0825,79.73,48.825
2018-06-26,46.065,78.33,49.255
2018-06-27,46.4025,76.28,49.75
2018-06-28,46.3375,76.55,50.2
2018-06-29,46.795,76.48,49.47
2018-07-02,45.91,77.29,49.47
2018-07-03,45.91,77.57,51.37
2018-07-05,46.9925,77.36,51.86
2018-07-06,47.645,77.36,52.15
2018-07-09,47.5875,77.38,51.2
2018-07-10,46.9825,77.75,52.35
2018-07-11,47.7575,77.47,52.22
2018-07-12,47.8325,76.6,52.01
2018-07-13,47.7275,76.95,51.75
2018-07-16,47.8675,76.96,51.72
2018-07-17,47.6,76.59,51.98
2018-07-18,47.9925,75.505,51.91
2018-07-19,47.86,77.14,52.31
2018-07-20,47.9025,78.15,52.18
2018-07-23,48.25,76.885,52.43
2018-07-24,48.705,75.955,52.17
2018-07-25,48.5525,76.91,47.68
2018-07-26,47.745,77.53,47.69
2018-07-27,47.43,78.65,48.1
2018-07-30,47.5725,78.745,48.81
2018-07-31,50.405,79.505,49.48
2018-08-01,51.8475,80.54,49.62
2018-08-02,51.99,80.5,49.3
2018-08-03,52.265,81.265,49.7
2018-08-06,51.7775,80.77,49.96
2018-08-07,51.8125,80.14,50.14
2018-08-08,52.22,80.11,48.85
2018-08-09,51.8825,79.57,48.45
2018-08-10,52.2175,80.06,48.12
2018-08-13,52.4375,79.75,47.46
2018-08-14,52.56,82.18,47.17
2018-08-15,53.325,82.95,47.1
2018-08-16,53.865,82.66,46.5
2018-08-17,53.765,82.91,47.62
2018-08-20,53.7625,82.46,47.06
2018-08-21,53.8725,82.665,46.98
2018-08-22,54.04,82.58,47.66
2018-08-23,54.485,82.79,48.35
2018-08-24,54.925,81.4,48.57
2018-08-27,55.745,82.175,48.75
2018-08-28,56.2575,79.6,48.24
2018-08-29,56.9075,79.915,48.43
2018-08-30,56.9075,80.4,48.43
2018-08-31,57.09,80.3,47.72
2018-09-04,55.775,82.095,47.26
2018-09-05,55.325,82.645,47.15
2018-09-06,54.5825,83.0,46.3
2018-09-07,55.9625,83.47,44.93
2018-09-10,55.265,83.485,44.93
2018-09-11,56.6025,83.26,45.57
2018-09-12,55.96,85.26,45.54
2018-09-13,54.47,85.37,45.42
2018-09-14,54.56,85.18,46.1
2018-09-17,54.5925,84.27,46.15
2018-09-18,55.0075,84.79,47.2
2018-09-19,54.415,83.72,46.66
2018-09-20,55.1975,84.54,46.91
2018-09-21,55.5475,84.725,45.91
2018-09-24,55.105,84.46,45.7
2018-09-25,56.2375,82.77,45.88
2018-09-26,56.435,82.5,47.29
2018-09-27,56.815,80.18,46.45
2018-09-28,57.32,80.12,48.1
2018-10-01,58.025,80.245,48.76
2018-10-02,56.9975,80.42,48.13
2018-10-03,56.0725,74.875,47.05
2018-10-04,55.94,74.5,47.03
2018-10-05,56.7275,75.91,46.55
2018-10-08,54.09,74.99,44.8
2018-10-09,53.6125,77.48,44.23
2018-10-10,55.5275,76.48,44.88
2018-10-11,54.34,75.6,44.53
2018-10-12,55.5375,74.21,45.94
2018-10-15,55.3,74.9,45.89
2018-10-16,54.005,73.35,44.97
2018-10-17,54.8275,72.105,44.0
2018-10-18,55.1475,73.1,45.01
2018-10-19,55.6825,72.07,44.5
2018-10-22,53.7725,72.19,42.42
2018-10-23,54.95,74.51,44.31
2018-10-24,54.075,75.06,45.69
2018-10-25,53.06,76.79,45.4
2018-10-26,53.325,76.545,47.76
2018-10-29,54.715,77.53,46.88
2018-10-30,55.555,76.57,48.22
2018-10-31,51.87,77.97,47.11
2018-11-01,50.3975,77.78,47.97
2018-11-02,50.9425,76.345,47.25
2018-11-05,52.4875,75.1,48.72
2018-11-06,52.1225,75.19,48.99
2018-11-07,51.1175,75.2,48.11
2018-11-08,48.5425,74.33,46.65
2018-11-09,48.0575,74.74,47.39
2018-11-12,46.7,72.52,47.09
2018-11-13,47.8525,71.12,48.11
2018-11-14,48.3825,72.385,48.85
2018-11-15,46.465,72.385,48.0
2018-11-16,44.235,72.71,47.39
2018-11-19,44.19,72.09,47.03
2018-11-20,44.19,74.67,47.03
2018-11-21,43.0725,74.34,47.45
2018-11-23,48.5,75.11,48.07
2018-11-26,45.235,77.945,48.86
2018-11-27,44.8875,75.79,47.7
2018-11-28,44.645,75.79,49.31
2018-11-29,46.205,75.53,50.13
2018-11-30,44.1725,73.34,47.75
2018-12-03,44.1725,72.51,47.75
2018-12-04,43.68,73.57,48.365
2018-12-05,42.1225,74.32,46.24
2018-12-06,42.4,72.93,47.21
2018-12-07,42.1575,72.54,47.38
2018-12-10,42.275,69.91,47.83
2018-12-11,42.7375,71.13,48.29
2018-12-12,41.37,68.95,47.86
2018-12-13,41.00375,67.51,47.04
2018-12-14,41.5175,72.36,45.535
