date,open,close,high,low
2018-06-11,373.25,374.59000000000003,376.25,371.95000000000005
2018-06-18,369.295,368.70500000000004,372.31,366.49
2018-06-25,374.065,373.745,378.76,370.595
2018-07-02,307.995,306.6,309.64,304.78000000000003
2018-07-09,387.385,387.42,389.44499999999994,385.83500000000004
2018-07-16,383.78499999999997,384.56999999999994,386.74,381.935
2018-07-23,384.58500000000004,383.635,388.03,379.635
2018-07-30,388.65,391.34000000000003,393.15999999999997,387.36
2018-08-06,402.03,403.215,405.94,400.05
2018-08-13,399.135,401.67,404.095,397.855
2018-08-20,413.655,413.64500000000004,416.54499999999996,410.985
2018-08-27,329.38,328.945,331.735,326.97999999999996
2018-09-03,400.89,402.30999999999995,405.705,399.5849999999999
2018-09-10,416.36,415.85999999999996,418.2,413.715
2018-09-17,423.885,424.87,428.025,421.10999999999996
2018-09-24,420.24,420.215,425.95,417.39000000000004
2018-10-01,404.68499999999995,403.46500000000003,409.43,400.01
2018-10-08,382.065,377.755,388.025,375.21500000000003
2018-10-15,379.37,374.53999999999996,381.245,371.71
2018-10-22,364.515,363.97499999999997,370.415,358.49
2018-10-29,381.34000000000003,382.49500000000006,386.66999999999996,376.10999999999996
2018-11-05,384.62,382.385,387.315,379.73
2018-11-12,371.875,367.90999999999997,376.83500000000004,362.415
2018-11-19,288.13,289.57000000000005,291.49,285.71000000000004
2018-11-26,375.66499999999996,377.855,382.115,369.6
2018-12-03,372.63500000000005,370.74,376.52500000000003,365.08500000000004
2018-12-10,363.03499999999997,360.83000000000004,368.86,355.83500000000004
2018-12-17,353.12500000000006,345.16,358.265,340.82
2018-12-24,292.98,293.16499999999996,296.765,288.65500000000003
2018-12-31,298.5,299.83,303.055,293.845
2019-01-07,380.41499999999996,382.995,386.075,379.06
2019-01-14,315.115,317.695,319.58000000000004,313.27000000000004
2019-01-21,402.29499999999996,402.105,405.23999999999995,399.20000000000005
2019-01-28,406.995,409.51000000000005,409.42499999999995,403.665
2019-02-04,414.58000000000004,415.81,416.91,410.4
2019-02-11,339.94000000000005,340.8,342.28000000000003,337.94000000000005
2019-02-18,423.06500000000005,424.58000000000004,426.655,419.91499999999996
2019-02-25,431.63500000000005,430.18000000000006,434.755,427.64000000000004
2019-03-04,426.29999999999995,426.445,428.88500000000005,423.05
2019-03-11,434.57500000000005,435.19,436.895,429.995
2019-03-18,424.89500000000004,422.58,431.90999999999997,417.98
2019-03-25,422.63,420.93,424.10999999999996,416.4
2019-04-01,424.49,424.2,426.86999999999995,421.84
2019-04-08,429.02500000000003,430.77,431.525,425.505
2019-04-15,354.555,354.8,356.71999999999997,336.095
2019-04-22,440.61999999999995,440.40999999999997,443.225,438.26500000000004
2019-04-29,426.72,422.96,431.65000000000003,423.085
2019-05-06,411.56499999999994,415.89000000000004,418.53999999999996,408.39
2019-05-13,418.50000000000006,419.35,423.65999999999997,415.815
2019-05-20,329.98,330.15,332.9,329.34000000000003
2019-05-27,393.9150000000001,394.855,400.74,389.22
2019-06-03,416.19,414.64,419.435,409.995
2019-06-10,416.415,417.02,420.62,413.09000000000003
2019-06-17,424.09,420.635,427.295,417.575
2019-06-24,422.265,423.35,425.85,417.985
2019-07-01,345.73999999999995,348.88,349.67,344.645
2019-07-08,442.55500000000006,443.4,446.06,440.21999999999997
2019-07-15,435.40999999999997,433.255,438.83000000000004,431.74500000000006
2019-07-22,435.23999999999995,435.64000000000004,438.365,433.085
2019-07-29,407.825,405.725,415.445,400.685
2019-08-05,411.48999999999995,410.77,417.7049999999999,405.01
2019-08-12,405.16999999999996,404.26000000000005,409.07,400.54999999999995
2019-08-19,411.22999999999996,411.5,416.16999999999996,406.09
2019-08-26,338.42,339.02500000000003,341.365,334.985
2019-09-02,442.49999999999994,440.195,444.745,435.95500000000004
2019-09-09,436.205,436.505,440.53999999999996,432.76500000000004
2019-09-16,439.53000000000003,437.45,442.07,435.605
2019-09-23,462.015,461.56,466.115,452.36499999999995
2019-09-30,458.10999999999996,461.44000000000005,465.4,446.82
2019-10-07,469.075,469.02,471.4,464.645
2019-10-14,478.295,478.46,480.25,474.45500000000004
2019-10-21,459.78,455.13,464.03999999999996,454.03
2019-10-28,449.84,448.665,452.125,444.465
2019-11-04,451.20500000000004,449.105,452.7850000000001,446.56500000000005
2019-11-11,461.265,463.31500000000005,466.415,457.195
2019-11-18,465.7,465.71,468.895,460.28
2019-11-25,373.58000000000004,373.9150000000001,376.19,370.855
2019-12-02,483.205,483.7,485.65000000000003,478.73
2019-12-09,492.45,494.50499999999994,496.655,490.04499999999996
2019-12-16,489.55999999999995,491.275,504.58500000000004,477.69500000000005
2019-12-23,403.87,404.18000000000006,405.235,401.91499999999996
2019-12-30,397.715,399.12,408.46000000000004,395.94
2020-01-06,508.43,509.025,512.17,498.31
2020-01-13,414.15,415.22,416.21000000000004,412.7
2020-01-20,513.145,510.0199999999999,518.08,508.21500000000003
2020-01-27,499.84,495.525,504.86,488.56
2020-02-03,501.57000000000005,501.2,505.57500000000005,497.095
2020-02-10,411.395,410.66499999999996,414.075,406.545
2020-02-17,489.63,483.625,498.7699999999999,484.96500000000003
2020-02-24,458.19000000000005,457.90999999999997,483.265,440.00500000000005
2020-03-02,450.44,445.28,454.17499999999995,430.54
