index,batch_size,optimizer,learning_rate,num_layers,neuronas_1,neuronas_2,dropout_1,dropout_2,dropout_recurrente_1,dropout_recurrente_2,activador_capas_1,activador_capas_2,activador_salida,bidireccional_1,bidireccional_2,Losses_train,Losses_val,Losses_test
160,4,nadam,"0,01",one,64,,0.0565606137279169,,0.1655246037255779,,softmax,,swish,,,0.0079061370342969,0.0064880833961069,0.0079581206664443
171,16,adam,"0,01",one,64,,0.0387671538415136,,0.0628102709420611,,gelu,,swish,,,0.0094132283702492,0.0066821915097534,0.0105754686519503
199,2,adamax,"0,01",one,64,,0.2239273542011666,,0.1429241258359407,,hard_sigmoid,,elu,,,0.0083069996908307,0.0067269778810441,0.0075676240958273
144,32,rmsprop,"0,01",one,64,,0.1138352639876022,,0.3045541974196047,,elu,,relu,,,0.0071729407645761,0.0067604868672788,0.0065284189768135
50,32,rmsprop,"0,01",two,64,50.0,0.2151994652942082,0.2086399994304398,0.4697337287160845,0.3515522570864095,swish,swish,swish,sum,concat,0.0081100845709443,0.0068046697415411,0.008475624024868
165,16,adam,"0,01",one,64,,0.179666282224359,,0.0192351823093858,,gelu,,swish,,,0.0074030249379575,0.0069523598067462,0.0077961161732673
185,2,adam,"0,01",one,64,,1.9731179074369744e-05,,0.0360421472166851,,softmax,,hard_sigmoid,,,0.0073916744440793,0.0069640581496059,0.0075722653418779
64,4,nadam,"0,01",one,64,,0.2739826417292974,,0.4618477754819913,,hard_sigmoid,,tanh,ave,,0.0086975656449794,0.007002783473581,0.0087701007723808
151,4,adamax,"0,01",one,64,,0.0728734881387303,,0.0007742051354711,,softsign,,relu,,,0.0082059418782591,0.0071826018393039,0.0083166677504777
154,4,adamax,"0,001",one,64,,0.0303276093556291,,0.173864467433797,,softsign,,linear,,,0.0075869862921535,0.0073129846714437,0.0076943137682974
36,8,nadam,"0,001",one,64,,0.1250062203015479,,0.0058001012450517,,selu,,sigmoid,ave,,0.0088432850316166,0.0075337537564337,0.0105570694431662
39,32,nadam,"0,01",two,64,50.0,0.0780620580562272,0.3764710673110774,0.3180603939559203,0.421416524830427,relu,tanh,relu,ave,sum,0.0075758066959679,0.0075358394533395,0.0087069645524024
156,8,adam,"0,01",one,64,,0.1790148791072656,,0.0574708238391887,,tanh,,tanh,,,0.0092110065743327,0.0079341465607285,0.0102333920076489
146,32,rmsprop,"0,01",one,64,,0.1281379909421015,,0.3067208378811438,,selu,,relu,,,0.0072523229755461,0.0079481974244117,0.007026667241007
38,4,adadelta,"0,1",one,64,,0.0424939630004379,,0.1863908498594023,,softsign,,selu,sum,,0.0098044937476515,0.0086779789999127,0.0122923105955123
166,16,adam,"0,01",one,64,,0.0728045303733797,,0.0778124784809726,,gelu,,swish,,,0.0087740533053874,0.0088825952261686,0.0101775387302041
16,2,rmsprop,"0,01",one,64,,0.2577787711449639,,0.1579213556714244,,sigmoid,,tanh,ave,,0.0115346973761916,0.0090746385976672,0.0112585527822375
56,4,adam,"0,01",one,64,,0.3049628508812013,,0.1012319319688961,,selu,,linear,ave,,0.013178713619709,0.0093929665163159,0.0147861884906888
109,32,rmsprop,"0,01",two,64,50.0,0.3635544052075924,0.2159153965616039,0.4984951743803864,0.3324020422752277,elu,selu,gelu,,,0.0097893793135881,0.0094320578500628,0.0106645720079541
153,4,adamax,"0,0001",one,64,,0.0868453304921113,,0.0160425955692231,,softsign,,relu,,,0.0104506136849522,0.0095384856685996,0.0102814147248864
21,4,adam,"0,01",one,64,,0.1556292678390676,,0.2278968440516133,,hard_sigmoid,,gelu,ave,,0.0103988330811262,0.0095685720443725,0.0104065248742699
79,8,adam,"0,0001",one,64,,0.0509613752012175,,0.2142128989935433,,swish,,elu,concat,,0.0102178435772657,0.0101539753377437,0.0117275267839431
118,1,adagrad,"0,1",one,64,,0.4451276932657992,,0.3410666258051441,,elu,,sigmoid,,,0.0118102328851819,0.0106093371286988,0.0120257036760449
95,1,sgd,"0,1",one,64,,0.3923202503560365,,0.1678382358161114,,tanh,,softplus,concat,,0.0124131040647625,0.0110784517601132,0.0127716967836022
159,16,adam,"0,001",one,64,,0.086229879790631,,0.2379443869419245,,tanh,,swish,,,0.0105578238144516,0.0110993785783648,0.0114054651930928
99,4,rmsprop,"0,0001",two,64,50.0,0.016107445930921,0.2625183297063043,0.0913787060292581,0.3909859735963897,linear,sigmoid,softsign,concat,mul,0.015013463795185,0.0111035434529185,0.0177598670125007
57,32,nadam,"0,0001",one,64,,0.0412605461666457,,0.3765018122044422,,linear,,selu,sum,,0.0110311433672904,0.0111159225925803,0.0138276452198624
157,4,adam,"0,0001",one,64,,0.0224494818655009,,0.1318336816657601,,tanh,,swish,,,0.0110499998554587,0.0112622296437621,0.0118043385446071
46,1,adam,"0,1",one,64,,0.0664127873110624,,0.1281379909421015,,softplus,,elu,concat,,0.0134745510295033,0.0117555586621165,0.0149118630215525
139,1,adamax,"0,1",two,64,50.0,0.3879866097371692,0.2585360037719075,0.4993320395046824,0.4255001435947317,softsign,hard_sigmoid,gelu,,,0.0148260965943336,0.0119093256071209,0.0159671623259782
32,16,nadam,"0,001",one,64,,0.2023654958018253,,0.0274419209607346,,relu,,selu,ave,,0.0132355727255344,0.012681414373219,0.0142718451097607
175,16,nadam,"0,0001",one,64,,0.089070142796308,,0.2122761311325872,,tanh,,tanh,,,0.014439582824707,0.0127783687785267,0.0153896883130073
